Cod_setor,Situacao_setor,V001,V060,V061,maioria
250110420000002,8,55,4,4,Mulheres
250110420000003,8,119,4,7,Mulheres
250110420000004,8,178,26,5,Mulheres
250110420000005,8,21,3,1,Homens
250110420000006,8,85,6,7,Mulheres
250110420000007,8,127,9,12,Homens
250110420000008,8,67,1,7,Mulheres
250115305000001,1,267,22,10,Homens
250115305000002,5,84,2,3,Mulheres
250115305000003,8,39,4,1,Homens
250115305000004,8,57,4,5,Mulheres
250115305000005,8,41,3,2,Homens
250120305000001,1,336,51,5,Homens
250120305000002,1,184,31,12,Homens
250120305000003,1,325,46,13,Homens
250120305000004,1,356,55,15,Homens
250120305000005,8,113,7,3,Homens
250120305000006,8,6,0,0,Mulheres
250120305000007,8,96,5,7,Mulheres
250120305000008,8,301,21,29,Mulheres
250120305000009,1,247,30,8,Mulheres
250130205000001,1,288,32,7,Mulheres
250130205000002,1,220,29,21,Homens
250130205000003,1,214,25,19,Homens
250130205000004,1,187,40,14,Homens
250130205000005,1,170,28,8,Mulheres
250130205000006,1,237,32,12,Homens
250130205000007,1,166,21,8,Mulheres
250130205000008,1,227,28,15,Homens
250130205000009,8,71,8,2,Homens
250130205000010,8,30,3,2,Homens
250130205000011,8,113,11,8,Mulheres
250130205000012,8,181,15,13,Homens
250130205000013,8,112,7,9,Mulheres
250130205000014,8,234,23,10,Homens
250130205000015,8,162,18,11,Homens
250130205000016,8,190,18,8,Mulheres
250130205000017,8,194,15,11,Homens
250130205000018,8,172,8,5,Homens
250130205000019,8,97,9,7,Homens
250130205000020,8,82,6,4,Homens
250130205000021,8,126,6,14,Homens
250130205000022,8,79,5,4,Homens
250130205000023,8,112,6,12,Homens
250130205000024,8,185,14,16,Mulheres
250130205000025,1,198,14,12,Homens
250130205000026,1,218,18,9,Mulheres
250130205000027,1,292,35,23,Homens
250130205000028,5,48,5,5,Mulheres
250130220000001,1,190,13,10,Homens
250130220000002,8,171,12,10,Homens
250130220000003,8,151,12,10,Homens
250130220000004,8,2,X,X,Mulheres
250130220000005,8,90,X,X,Mulheres
250130220000006,1,225,16,20,Mulheres
250135105000001,1,276,42,20,Homens
250135105000002,1,231,24,14,Homens
250135105000003,8,57,1,2,Mulheres
250135105000004,8,117,2,16,Homens
250135105000005,1,239,20,12,Homens
250135105000006,1,126,15,9,Mulheres
250140105000001,1,128,14,11,Homens
250140105000002,1,200,22,11,Homens
250140105000003,1,166,14,10,Homens
250140105000004,1,256,21,15,Homens
250140105000005,1,131,11,13,Mulheres
250140105000006,7,47,1,5,Mulheres
250140105000007,7,205,10,16,Mulheres
250140105000008,7,189,12,8,Mulheres
250140105000009,7,136,9,13,Homens
250140105000010,7,45,2,1,Homens
250140105000011,7,46,2,7,Mulheres
250140105000012,7,45,2,1,Homens
250140105000013,7,38,1,4,Mulheres
250140105000014,7,291,9,27,Homens
250140105000015,8,13,1,1,Mulheres
250140105000016,8,22,2,3,Mulheres
250140105000017,7,97,4,8,Mulheres
250140105000018,7,22,0,0,Mulheres
250140105000019,7,19,0,1,Mulheres
250140105000020,7,12,1,1,Mulheres
250150005000001,1,291,34,14,Homens
250150005000002,1,202,22,10,Homens
250150005000003,1,236,29,12,Homens
250150005000004,1,249,29,6,Mulheres
250150005000005,1,202,19,15,Homens
250150005000006,1,286,45,13,Homens
250150005000007,1,18,2,0,Homens
250150005000008,8,170,9,9,Mulheres
250150005000009,8,172,7,9,Mulheres
250150005000010,8,200,6,6,Mulheres
250150005000011,8,300,12,17,Mulheres
250150005000012,8,11,X,X,Mulheres
250150005000013,8,35,0,2,Mulheres
250150005000014,8,35,0,3,Mulheres
250150005000015,8,126,11,10,Homens
250150005000016,8,35,3,4,Mulheres
250150005000017,1,312,17,11,Homens
250150005000018,1,101,15,7,Mulheres
250150005000019,5,133,8,5,Homens
250150005000020,4,169,13,7,Mulheres
250150005000021,5,4,X,X,Mulheres
250150010000001,1,228,22,13,Homens
250150010000002,8,125,5,3,Homens
250150010000003,8,156,9,15,Homens
250150010000004,8,163,11,9,Mulheres
250150010000005,8,127,6,9,Mulheres
250150010000006,8,84,2,13,Homens
250150010000007,8,103,0,7,Mulheres
250150010000008,8,46,4,2,Homens
250150010000009,5,115,13,4,Mulheres
250150010000010,5,249,21,11,Homens
250150010000011,8,74,2,10,Homens
250150020000001,1,229,23,17,Homens
250150020000002,8,69,0,8,Mulheres
250150020000003,8,111,6,9,Mulheres
250150020000004,8,99,5,7,Mulheres
250150020000005,8,27,0,2,Mulheres
250150020000006,8,281,13,15,Mulheres
250150020000007,8,76,4,4,Mulheres
250150020000008,8,133,3,2,Homens
250150020000009,1,120,14,7,Mulheres
250150020000010,5,58,5,3,Homens
250153405000001,1,247,30,17,Homens
250153405000002,1,203,23,18,Homens
250153405000003,8,201,13,21,Mulheres
250153405000004,8,91,7,7,Mulheres
250153405000005,1,337,34,16,Homens
250153405000006,1,221,37,17,Homens
250157505000001,1,249,41,28,Homens
250157505000002,8,181,12,24,Mulheres
250157505000003,8,171,5,11,Homens
250157505000004,8,202,15,31,Mulheres
250157505000005,8,103,12,8,Mulheres
250157505000006,8,126,6,11,Homens
